time,cloud_cover (%),temperature_2m (°C),relative_humidity_2m (%),rain (mm),direct_radiation_instant (W/m²)
2025-01-01T00:00,0,28.5,33,0.00,0.0
2025-01-01T01:00,0,26.7,37,0.00,0.0
2025-01-01T02:00,19,25.9,39,0.00,0.0
2025-01-01T03:00,10,25.2,40,0.00,0.0
2025-01-01T04:00,60,24.2,42,0.00,0.0
2025-01-01T05:00,87,23.7,44,0.00,0.0
2025-01-01T06:00,73,24.0,45,0.00,15.8
2025-01-01T07:00,75,25.1,43,0.00,131.0
2025-01-01T08:00,66,27.5,39,0.00,335.0
2025-01-01T09:00,70,28.2,38,0.00,557.9
2025-01-01T10:00,50,31.6,31,0.00,672.2
2025-01-01T11:00,57,34.6,25,0.00,826.0
2025-01-01T12:00,14,36.3,22,0.00,839.2
2025-01-01T13:00,2,37.1,22,0.00,877.1
2025-01-01T14:00,1,37.0,23,0.00,859.4
2025-01-01T15:00,15,32.8,32,0.00,695.6
2025-01-01T16:00,16,32.0,35,0.00,547.8
2025-01-01T17:00,7,31.0,36,0.00,378.4
2025-01-01T18:00,8,29.6,39,0.00,191.3
2025-01-01T19:00,26,28.0,45,0.00,32.8
2025-01-01T20:00,24,26.8,51,0.00,0.0
2025-01-01T21:00,44,24.8,59,0.00,0.0
2025-01-01T22:00,49,25.1,62,0.00,0.0
2025-01-01T23:00,24,25.4,54,0.00,0.0
2025-01-02T00:00,14,25.3,57,0.00,0.0
2025-01-02T01:00,23,25.5,52,0.00,0.0
2025-01-02T02:00,3,25.3,51,0.00,0.0
2025-01-02T03:00,22,24.5,55,0.00,0.0
2025-01-02T04:00,27,23.4,63,0.00,0.0
2025-01-02T05:00,3,22.9,72,0.00,0.0
2025-01-02T06:00,2,23.5,72,0.00,27.1
2025-01-02T07:00,0,25.4,61,0.00,185.7
2025-01-02T08:00,1,27.8,48,0.00,391.4
2025-01-02T09:00,35,27.9,52,0.00,527.6
2025-01-02T10:00,33,29.8,46,0.00,539.1
2025-01-02T11:00,15,30.3,43,0.00,716.1
2025-01-02T12:00,9,29.7,45,0.00,828.2
2025-01-02T13:00,10,28.9,51,0.00,900.1
2025-01-02T14:00,10,28.5,53,0.00,846.0
2025-01-02T15:00,0,27.7,57,0.00,722.8
2025-01-02T16:00,9,26.6,60,0.00,574.7
2025-01-02T17:00,0,25.7,64,0.00,374.3
2025-01-02T18:00,0,24.6,67,0.00,189.3
2025-01-02T19:00,0,23.1,73,0.00,33.4
2025-01-02T20:00,0,22.0,78,0.00,0.0
2025-01-02T21:00,0,21.2,81,0.00,0.0
2025-01-02T22:00,8,20.7,85,0.00,0.0
2025-01-02T23:00,32,20.6,83,0.00,0.0
2025-01-03T00:00,100,20.7,82,0.00,0.0
2025-01-03T01:00,74,20.8,82,0.00,0.0
2025-01-03T02:00,28,20.3,82,0.00,0.0
2025-01-03T03:00,40,19.3,84,0.00,0.0
2025-01-03T04:00,56,18.6,86,0.00,0.0
2025-01-03T05:00,79,18.1,88,0.00,0.0
2025-01-03T06:00,67,17.9,88,0.00,20.4
2025-01-03T07:00,79,18.6,81,0.00,146.2
2025-01-03T08:00,42,19.9,73,0.00,333.3
2025-01-03T09:00,95,21.1,66,0.00,339.5
2025-01-03T10:00,74,23.0,57,0.00,702.0
2025-01-03T11:00,62,24.3,52,0.00,829.6
2025-01-03T12:00,70,24.8,51,0.00,925.2
2025-01-03T13:00,99,24.8,51,0.00,954.8
2025-01-03T14:00,100,24.8,50,0.00,889.6
2025-01-03T15:00,97,24.8,50,0.00,708.0
2025-01-03T16:00,97,24.6,52,0.00,568.6
2025-01-03T17:00,82,24.1,58,0.00,389.5
2025-01-03T18:00,94,23.3,64,0.00,190.9
2025-01-03T19:00,99,22.2,72,0.00,30.2
2025-01-03T20:00,100,21.5,78,0.00,0.0
2025-01-03T21:00,32,21.6,79,0.00,0.0
2025-01-03T22:00,15,22.2,67,0.00,0.0
2025-01-03T23:00,2,22.1,62,0.00,0.0
2025-01-04T00:00,12,21.5,63,0.00,0.0
2025-01-04T01:00,35,20.9,65,0.00,0.0
2025-01-04T02:00,80,20.2,67,0.00,0.0
2025-01-04T03:00,99,19.5,69,0.00,0.0
2025-01-04T04:00,100,18.9,72,0.00,0.0
2025-01-04T05:00,90,18.4,74,0.00,0.0
2025-01-04T06:00,75,18.2,75,0.00,20.4
2025-01-04T07:00,13,19.2,68,0.00,176.9
2025-01-04T08:00,22,21.0,60,0.00,394.8
